i VIFF SSIM CC MSE
0 1.154425953956375 1.6646408918974673 0.8956165313720703 0.0054757725447416306
1 1.1651947193703909 1.6601673037692377 0.8943197131156921 0.005297895520925522
2 1.1376801551303048 1.6528058664261256 0.9007630348205566 0.004999242722988129
3 1.0993001445243857 1.6441882668033574 0.9090036153793335 0.005099112633615732
4 1.1376038734742255 1.6402014803979619 0.917896032333374 0.005822538398206234
5 1.022067737827248 1.6312746072364135 0.9255576133728027 0.007144728675484657
6 0.9436534406103227 1.6201055297320113 0.931719958782196 0.007898302748799324
7 0.9607218949444382 1.6430860321184275 0.9364477396011353 0.008427634835243225
8 0.942526448361246 1.659400100583386 0.9392484426498413 0.006436516996473074
9 0.9986513881833388 1.661927340021181 0.9403232336044312 0.00528473686426878
10 1.005807707709871 1.6570286929784235 0.9331357479095459 0.00549714919179678
11 0.9547917919640612 1.6470413207046777 0.9235378503799438 0.006217059679329395
12 0.9448683144729885 1.6465005646751991 0.913284182548523 0.007044724188745022
13 0.9558537949297532 1.6591345979083092 0.9169448018074036 0.007015868090093136
14 0.8819334668251648 1.66073257104018 0.9229480028152466 0.008890264667570591
15 0.9033731239344744 1.6400654501708654 0.9288424253463745 0.007020467426627874
16 0.9719605343474167 1.6794939064357846 0.9395201206207275 0.005788569804280996
17 0.9884173612296617 1.6842322208679552 0.9422453045845032 0.0052836574614048
18 0.9222505894728148 1.6367765174343147 0.9195970296859741 0.008661136031150818
19 0.9620748948747059 1.6865951279932898 0.9444206953048706 0.005189696326851845
20 0.9202446369120806 1.6920188780899827 0.9429090023040771 0.005410011857748032
21 0.8987349784589158 1.6919829582833477 0.9355525970458984 0.006911002099514008
22 0.8847085940962429 1.6890607028133404 0.9334307909011841 0.006880647502839565
23 0.8920343663591936 1.688171212626722 0.9350253343582153 0.009355966001749039
24 0.8872021806087649 1.6891392445691995 0.9295022487640381 0.010417185723781586
25 0.9530861620005939 1.7022386195176649 0.9394940137863159 0.007406680844724178
26 0.913793447772868 1.7080737797788488 0.936700165271759 0.007610297296196222
27 0.8354394936112972 1.700232278107088 0.9324930906295776 0.011023536324501038
28 0.8825666346530461 1.7032143930757262 0.9281361103057861 0.010324167087674141
29 0.9214698752134018 1.7094183308891313 0.9251336455345154 0.008492299355566502
30 0.9260219615154668 1.7124164930862729 0.9188135862350464 0.008599068969488144
31 1.068320886829334 1.7256711674277923 0.9156612157821655 0.0068236361257731915
32 1.1345437860141345 1.7317977898383679 0.9080748558044434 0.005664855241775513
33 1.0093816726497027 1.7435424217247482 0.9026552438735962 0.005539590027183294
34 0.9376813235884834 1.6114818857232622 0.9030845165252686 0.012662782333791256
35 0.9603504979006443 1.6297421896854396 0.9081325531005859 0.011804084293544292
36 0.9631461111562674 1.6427966312869267 0.9111477136611938 0.011886145919561386
37 0.9874695194311816 1.661367619026589 0.9189572334289551 0.011077101342380047
38 1.0378582198894357 1.6708639257752806 0.9212627410888672 0.01036231778562069
39 1.0550854617221943 1.6790097807752007 0.92348313331604 0.009968411177396774
40 1.1149489302298738 1.677431582309216 0.9234662055969238 0.010095343925058842
41 1.184542589193338 1.6817469952932764 0.9198001623153687 0.010733596980571747
42 1.2142320866152776 1.6829368588272593 0.9192022085189819 0.011129157617688179
43 1.1982094895136655 1.6905746373055677 0.9288457632064819 0.009887536987662315
44 1.20331604430275 1.6988359520293788 0.9356404542922974 0.008905733935534954
45 1.1757844655144642 1.7013193582124428 0.9412643313407898 0.008248688653111458
46 1.074423670270463 1.7019801088675441 0.9428410530090332 0.008019558154046535
47 1.0195750814343234 1.70423802540271 0.9435612559318542 0.007993534207344055
48 1.1088525311815052 1.7103930338816127 0.9389556646347046 0.008694269694387913
49 1.1005872483576244 1.7136352799247403 0.930991530418396 0.00957362912595272
50 1.0989215200581826 1.721092347532792 0.929755449295044 0.00939470250159502
51 1.0815534079521931 1.7250962851647231 0.9301429986953735 0.009451117366552353
52 1.0825859065885601 1.729609613420277 0.9341234564781189 0.00890663918107748
53 1.1056176397852466 1.7471482354363552 0.9462185502052307 0.007308741100132465
54 1.1520636765567942 1.7628449879565107 0.9530162811279297 0.0062559666112065315
55 1.0993663285141402 1.7685289801265878 0.9570941925048828 0.005614320747554302
56 1.104812049255637 1.7718370101106085 0.9591469764709473 0.005289550870656967
57 1.1740292422635858 1.781052696656079 0.9606557488441467 0.004947122652083635
58 1.2121135624187873 1.784330787210267 0.9593210220336914 0.00494192773476243
59 1.4101235968232517 1.7899964899988903 0.9560792446136475 0.0047713592648506165
60 1.4292618134929669 1.79080843631358 0.9512774348258972 0.004959336947649717
61 1.027787238487444 1.515419970505429 0.7019580602645874 0.024184148758649826
62 0.9730957825722882 1.5031879218932667 0.70981764793396 0.023548319935798645
63 0.8938107605296228 1.4843330917990543 0.7209533452987671 0.025836853310465813
64 0.9254998781261552 1.478344501583849 0.7180898785591125 0.027999958023428917
65 0.9754283112896358 1.4630962647891463 0.7065379619598389 0.029867049306631088
66 1.1632859939766607 1.4500433124470233 0.6674056053161621 0.028625885024666786
67 1.2954871539795223 1.4367150985046144 0.6269410848617554 0.029508009552955627
68 1.434893749792134 1.4365601357130255 0.6221520304679871 0.03117811679840088
69 1.3236995221260215 1.439208479735733 0.6267536878585815 0.028876595199108124
70 1.2912997629763177 1.4439509817103642 0.6367648839950562 0.02889295481145382
71 1.5058760875956076 1.4485486135833125 0.6329897046089172 0.028591737151145935
72 1.73112663171754 1.58737516351988 0.6624429225921631 0.02642252668738365
73 1.7610303772469358 1.6264889149253672 0.6628156304359436 0.026095593348145485


